gtin ,sku ,stock,(1) price before discount,(2) price after discount,collectionhours
4751043571381,000053-0017-XS,9,30.00,10.00,24
4751043571404,000053-0017-S,0,30.00,10.00,24
4751043572302,000055-0004-OneSize,0,13.00,5.00,24
4751043572326,000055-0008-OneSize,0,13.00,5.00,24
4751043572340,000056-0004-XS,0,35.00,17.50,72
4751043572364,000056-0004-S,0,35.00,17.50,72
4751043572388,000056-0004-M,0,35.00,17.50,72
4751043572401,000056-0004-L,0,35.00,17.50,72
4751043572425,000056-0004-XL,0,35.00,17.50,72
4751043572449,000056-0004-2XL,5,35.00,12.00,24
4751043572463,000056-0004-3XL,3,35.00,12.00,24
4751043572487,000056-0004-4XL,1,35.00,12.00,24
4751043572500,000056-0004-5XL,0,35.00,17.50,72
4751043572524,000056-0023-XS,0,35.00,12.00,48
4751043572548,000056-0023-S,0,35.00,12.00,48
4751043572562,000056-0023-M,0,35.00,17.50,72
4751043572586,000056-0023-L,0,35.00,17.50,72
4751043572609,000056-0023-XL,0,35.00,17.50,72
4751043572623,000056-0023-2XL,0,35.00,17.50,72
4751043572647,000056-0023-3XL,0,35.00,17.50,72
4751043572661,000056-0023-4XL,0,35.00,17.50,72
4751043572685,000056-0023-5XL,0,35.00,17.50,72
4751043572708,000056-0024-XS,0,35.00,17.50,72
4751043572722,000056-0024-S,0,35.00,17.50,72
4751043572746,000056-0024-M,0,35.00,17.50,72
4751043572760,000056-0024-L,0,35.00,17.50,72
4751043572784,000056-0024-XL,0,35.00,17.50,72
4751043572807,000056-0024-2XL,0,35.00,17.50,72
4751043572821,000056-0024-3XL,0,35.00,12.00,48
4751043572845,000056-0024-4XL,0,35.00,17.50,72
4751043572869,000056-0024-5XL,0,35.00,17.50,72
4751043573002,000057-0025-3XL,,39.00,19.90,72
4751043573064,000057-0007-XS,2,39.00,19.90,24
4751043573088,000057-0007-S,0,39.00,19.90,72
4751043573248,000057-0005-XS,2,39.00,19.90,24
4751043573521,000058-0024-2XL,3,25.00,20.00,72
4751043573705,000058-0004-2XL,5,25.00,20.00,24
4751043573781,000059-0006-XS,3,25.00,12.50,24
4751043573804,000059-0006-S,3,25.00,12.50,24
4751043573965,000059-0005-XS,3,25.00,12.50,24
4751043573989,000059-0005-S,2,25.00,12.50,24
4751043574146,000059-0022-XS,9,25.00,12.50,24
4751043574160,000059-0022-S,2,25.00,12.50,24
4751043574184,000059-0022-M,3,25.00,12.50,72
4751043574245,000059-0022-2XL,0,25.00,12.50,72
4751043574269,000059-0022-3XL,9,25.00,12.50,24
4751043574283,000059-0022-4XL,1,25.00,12.50,72
4751043574320,000060-0026-XS,5,25.00,14.50,24
4751043574344,000060-0026-S,5,25.00,14.50,24
4751043574429,000060-0026-2XL,6,25.00,14.50,24
4751043574443,000060-0026-3XL,2,25.00,14.50,24
4751043574467,000060-0026-4XL,0,25.00,14.50,72
4751043574504,000060-0025-XS,6,25.00,14.50,24
4751043574528,000060-0025-S,4,25.00,14.50,24
4751043574542,000060-0025-M,0,25.00,14.50,72
4751043574566,000060-0025-L,0,25.00,14.50,72
4751043574580,000060-0025-XL,0,25.00,14.50,72
4751043574603,000060-0025-2XL,5,25.00,14.50,24
4751043574627,000060-0025-3XL,9,25.00,14.50,24
4751043574641,000060-0025-4XL,0,25.00,14.50,72
4751043574689,000060-0024-XS,4,25.00,14.50,24
4751043574702,000060-0024-S,6,25.00,14.50,24
4751043574788,000060-0024-2XL,0,25.00,14.50,72
4751043574801,000060-0024-3XL,0,25.00,14.50,72
4751043574825,000060-0024-4XL,0,25.00,14.50,72
4751043574986,000061-0006-3XL,0,20.00,9.50,24
4751043575143,000061-0005-2XL,3,20.00,9.50,24
4751043575167,000061-0005-3XL,3,20.00,9.50,24
4751043576126,000064-0005-XS,3,31.00,15.50,24
4751043576140,000064-0005-S,0,31.00,15.50,72
4751043576164,000064-0005-M,0,31.00,15.50,24
4751043576188,000064-0005-L,0,31.00,15.50,72
4751043576201,000064-0005-XL,0,31.00,15.50,72
4751043576225,000064-0005-2XL,0,31.00,15.50,72
4751043576249,000064-0005-3XL,0,31.00,15.50,72
4751043576263,000064-0005-4XL,0,31.00,15.50,72
4751043576287,000064-0005-5XL,0,31.00,15.50,72
4751043576300,000064-0006-XS,3,31.00,15.50,24
